RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
67,Bay County,Florida,342,208500,212800,213800,207800,208300,206600,197000,182900,181100,182500,178200,186200,189500,186400,172000,169300,174400,177500,173900,174600,172700,170900,169900,172800,179200,172700,163000,156800,156600,156000,156700,157900,163500,169100,163800,163800,156800,157000,155300,146900,149100,143500,145700,145500,150100,158700,160400,159000,151300,151900,150500,158800,158400,156900,152600,149900,151900,150500,153800,159100,160000,161400,158200,169400,171100,171400,162700,164600,165500,165300,158100,160300,157900,163200,155200,156600,156200,163900,165100,165000,164800,166200,160800,169300,179300,183400,176300,166600,171500,168700,170600,173300,178100,178600,180600,179600,179900,178600,178900,180800,185100,189400,186900,178800,174300,174000,176200,178300,186400,189000,194100,189300,189300,189900,194200,195700,195700,197200,206000,204900,215300,217100,223400,218300,216300,216300,216000,222500,229400,220000,202300,192300,198300,206000,206700,202800,206100,210100,223100,223200,228300,225500,227700
283,Pitt County,North Carolina,343,134700,130800,130200,127600,128200,125100,122500,125200,130100,131500,130600,120700,124500,124700,127400,129700,127600,130900,129200,129900,128400,125200,126900,133400,134400,133600,125400,127200,122900,127900,129500,130600,123600,115600,120600,126500,130800,129200,123100,123000,121200,127300,129200,129200,124700,123900,126200,120800,125200,125200,130400,123500,125000,126000,128500,124200,129800,119900,120100,125600,137800,138400,127400,128500,130600,131400,131900,122800,118400,119900,128300,131300,129800,128300,127800,122000,124200,125300,131300,132300,126400,123900,123500,127000,124400,125700,128300,130000,128000,127000,125200,128000,128600,128000,117600,118300,117400,123800,119700,122500,122800,133300,131900,131200,125200,125500,129900,126700,127500,125000,129800,130700,128600,124500,124900,125900,128500,130400,133000,140300,142700,144500,138000,137800,139000,141400,140900,138700,140000,141700,144100,144500,139200,144800,143500,151600,148800,147600,147000,148300,152600,148400,
1595,Carroll County,Maryland,344,,,,,,,,,,,,,,,,255800,255200,264000,274100,263600,267100,268400,270200,260700,257900,257800,257500,248300,250900,259000,264000,254300,245200,245700,250100,247000,240600,241500,246500,252100,255100,250100,245200,235300,236700,244300,246400,242700,237500,248100,247400,254800,252000,262400,249600,239700,246200,252300,261300,262200,264200,269100,267400,270600,266600,267200,266000,269200,270200,278200,281400,285300,280600,273900,266500,264200,271600,274400,275400,268800,268000,262800,270100,271400,276200,270600,271700,272600,280600,280300,280000,275900,274700,272300,268800,260200,266300,274500,288100,288000,282000,278200,280600,287600,288800,289700,278400,276600,271400,275400,283000,286700,288700,291300,290800,293300,294400,295300,299600,290700,294000,296500,300800,299500,299500,303000,305600,295100,297900,302800,303400,295600,297200,305900,308100,301900,303100,309100,311100,315700,312900,320400,316600
2878,Winnebago County,Wisconsin,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123800,125000,125100,124700,125300,123900,125600,128500,129300,128500,124500,124100,123900,124400,125300,127700,127600,128400,127200,133300,135600,137900,132600,134400,137000,142800,139400,137400,137700,142100,143300,141600,148300,143200,149300,147700,153300,149500,147400,149900,151100,145300,148600,146200,153100,148600,153500,146700,146000,145400,151600,154400,153000,153700,159700,168400
1862,Licking County,Ohio,346,128300,126400,127700,125200,126300,127300,128100,124200,117200,114800,118900,119100,119500,120600,126100,123600,115700,115900,120500,126900,126100,124800,123200,121300,125100,129400,133700,134000,126600,122900,112800,120500,120100,128100,118000,115800,115500,119300,122900,121600,122300,122900,122900,123500,124900,120500,113900,102200,110000,121100,132100,128100,127500,126500,125400,119900,119000,118200,120000,123900,128700,130400,130700,130800,131100,129000,139100,155200,167400,162400,151700,141900,143300,157100,175800,183500,176800,176400,173600,171000,164500,168000,165400,161700,164500,167300,171400,177500,181400,183900,174500,172500,172600,171500,177100,177200,172300,165600,156800,153900,153300,152000,155400,153000,151300,150400,149000,155900,162600,168800,168700,165200,159900,157300,161500,166800,169200,169000,173600,174800,173900,166600,166100,167500,172600,178800,172400,174100,168100,174100,170800,173300,178400,196500,200500,202300,189000,189900,186700,189100,187200,188400,186800
1837,Kenosha County,Wisconsin,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,129000,122100,118200,119600,122000,121000,126900,133000,134600,127700,122200,122400,119200,114200,112800,115000,119400,121000,120200,116000,118600,114300,118000,111300,113300,110200,109400,106000,105600,105800,112900,112700,113500,108600,109800,109000,113000,115900,120700,120400,120400,119600,118500,114600,112400,115000,114400,122000,123600,125200,123000,123800,129300,129700,132700,129400,126800,125900,131500,135300,137800,136200,134300,135500,136100,135500,132200,137500,144800,149300,143600,142100,138300,139500,141400,142600,144300,144500,147100,151600,155700,158300,157500,155500,154500,157200,156300,158700,156200,158400,159000,161600,164000,164500,167500,163300,165400,165200,165000,164500,163300,166900,173500,172600,183500,180600,187000,178800,174300,173100,177900,181300,183100,177400,,
202,Kent County,Rhode Island,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212800,210300,213500,225300,225300,221600,218300,193500,198600,203600,229000,228600,227200,222100,218000,219500,231900,238100,236500,232800,233100,234500,240500,240500,235200,234100,229300,239000,235300,246900,248600,257200
2800,Middlesex County,Connecticut,349,264400,264200,259300,248400,239500,239600,241800,251300,253900,254200,236000,229000,224800,236500,240300,239900,233400,229200,228700,227800,235900,245300,246200,243700,238700,234900,232400,226700,226800,233200,233900,229400,238300,251600,265200,250900,252400,250000,262100,257200,258200,234200,228900,218800,226400,222100,228200,234600,236200,235800,238900,237800,239800,232200,221600,222400,219300,229500,218500,214800,212800,227800,226900,227800,223800,240900,245300,245600,239100,238800,242600,241500,241600,237700,238300,232900,224900,222500,219700,222500,227100,232500,221700,218600,216200,229200,227200,226000,224700,224600,225600,223500,223600,242000,244100,248100,229000,227100,227300,240400,243400,241200,233600,233700,233600,227300,226200,226600,233800,237900,241200,245700,247700,250400,242400,243800,238800,242400,239800,243500,241400,238400,236900,240300,242400,240400,244800,245900,251800,252300,253400,250600,248700,252500,250500,247600,243700,253900,253100,255500,259000,266500,268300
706,Scott County,Iowa,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,119400,119200,118800,122900,127400,127600,122400,121100,116000,112700,111200,112500,116400,117900,123400,122500,121700,119400,120800,124200,128100,128400,128000,129000,130300,129600,124700,126800,128500,132600,128000,127200,128500,130900,128100,124900,126900,129900,129600,128200,127100,129000,128800,133000,132100,133600,129100,130900,129500,131000,130900,133500,132900,133400,131500,132000,130200,131800,133800,134500,140600,140100,144500,140400,143000,136200,136600,133900,140900,139800,142500,141400,140200,143000,145000,153500,147500,146700,142400,144800,141800,140500,142800,147300,149800,148600,146700,143300,144900,143800,146700,149800,155200,157000,155600,154800,154100,152200,150900,150900,154000,154900,149800,147100,147300,154500,155300,152700,152800,154100,160400,165800,168800,161600,152000,
1330,Porter County,Indiana,351,177400,173600,156600,154000,156400,162500,162400,159000,158700,159400,165900,178600,180800,180000,165400,161000,154800,154600,160800,162200,160400,159700,153300,162200,163100,175800,164700,158300,156200,169400,172100,173200,163900,169800,163100,176000,174900,182200,169400,167400,158100,159600,155200,158700,160400,160800,153800,166200,175000,184500,168900,164200,163900,164800,169900,165200,174400,171400,177300,188300,184500,190100,169400,171300,164700,164500,163600,161000,160000,160700,162700,163400,161500,160400,159700,161300,161800,166500,166900,168400,165400,164300,160700,162700,164200,166200,166500,167600,164700,166400,164800,167700,168500,167500,170500,176400,180400,179800,173000,171700,172200,170300,166900,166700,171700,176200,176800,183700,191300,191500,182400,175200,177600,178300,181100,182400,181100,179700,176800,180200,181500,185400,190200,188900,186500,177900,180100,181800,195300,198100,195500,193300,199900,207100,204800,204500,204700,208900,207500,209900,208200,208200,204000
